STATE,PLANT_NAME,LAT,LON,COAL_GEN,OIL_GEN,GAS_GEN,NUCLEAR_GEN,HYDRO_GEN,BIOMASS_GEN,WIND_GEN,SOLAR_GEN,GEOTHERMAL_GEN,OTHER_GEN,NET_GEN,NET_NONRENEWABLE_GEN,NET_RENEWABLE_GEN,PERCENT_COAL_GEN,PERCENT_OIL_GEN,PERCENT_GAS_GEN,PERCENT_NUCLEAR_GEN,PERCENT_HYDRO_GEN,PERCENT_BIOMASS_GEN,PERCENT_WIND_GEN,PERCENT_SOLAR_GEN,PERCENT_GEOTHERMAL_GEN,PERCENT_OTHER_GEN,PERCENT_NONRENEWABLE_GEN,PERCENT_RENEWABLE_GEN
GA,SOUTH GEORGIA MEDICAL CENTER,30.8281,83.2531,0.0,478.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,478.2,478.2,0.0,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000
GA,SOWEGA POWER LLC,31.2603,84.2531,0.0,0.0,96167.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96167.9,96167.9,0.0,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000
GA,SP NEWSPRINT CO,32.4314,82.9372,177047.7,9429.0,129801.3,0.0,0.0,38112.8,0.0,0.0,0.0,27788.8,382179.6,344066.8,38112.8,46.3258,2.4672,33.9634,0.0000,0.0000,9.9725,0.0000,0.0000,0.0000,7.2711,90.0275,9.9725
GA,STATE FARM INSURANCE CO ISC EAST,33.8443,84.4094,0.0,890.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,890.7,890.7,0.0,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000
GA,STEVENS CREEK,34.7641,83.0746,0.0,0.0,0.0,0.0,56347.0,0.0,0.0,0.0,0.0,0.0,56347.0,0.0,56347.0,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
GA,SUN TRUST PLAZA,33.8443,84.4094,0.0,156.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.6,156.6,0.0,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000
GA,TALLASSEE HYDRO PROJ,33.9455,83.3909,0.0,0.0,0.0,0.0,1150.0,0.0,0.0,0.0,0.0,0.0,1150.0,0.0,1150.0,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
GA,TALLULAH FALLS,34.6271,83.5101,0.0,0.0,0.0,0.0,68057.0,0.0,0.0,0.0,0.0,0.0,68057.0,0.0,68057.0,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
GA,TERRORA,34.8583,83.3815,0.0,0.0,0.0,0.0,25586.0,0.0,0.0,0.0,0.0,0.0,25586.0,0.0,25586.0,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
GA,THIELE KAOLIN CO REEDY CREEK PLANT,33.0372,82.4554,0.0,486.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,486.4,486.4,0.0,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000
GA,THIELE KAOLIN COMPANY SANDERSVILLE PLANT,32.9989,82.7924,0.0,451.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,451.5,451.5,0.0,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000
GA,TUGALO,34.6271,83.5101,0.0,0.0,0.0,0.0,63169.0,0.0,0.0,0.0,0.0,0.0,63169.0,0.0,63169.0,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
GA,VALDOSTA WATER TREATMENT PLANT,30.8281,83.2531,0.0,344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344.0,344.0,0.0,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000
GA,VOGTLE,33.0491,81.9292,0.0,0.0,0.0,19576610.0,0.0,0.0,0.0,0.0,0.0,0.0,19576610.0,19576610.0,0.0,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000
GA,WALLACE DAM,33.2744,83.0113,0.0,0.0,0.0,0.0,442047.0,0.0,0.0,0.0,0.0,0.0,442047.0,0.0,442047.0,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
GA,WALTER F GEORGE,31.6330,84.9798,0.0,0.0,0.0,0.0,222253.0,0.0,0.0,0.0,0.0,0.0,222253.0,0.0,222253.0,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
GA,WANSLEY,33.4167,85.0333,9709833.0,20292.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9730125.0,9730125.0,0.0,99.7915,0.2085,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000
GA,WARWICK,31.5833,83.8339,0.0,0.0,0.0,0.0,29482.0,0.0,0.0,0.0,0.0,0.0,29482.0,0.0,29482.0,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
GA,WEST GEORGIA GENERATING CO,32.8416,84.3282,0.0,41746.5,592929.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,634676.4,634676.4,0.0,0.0000,6.5776,93.4224,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000
GA,WEST POINT,33.0464,85.0491,0.0,0.0,0.0,0.0,104261.0,0.0,0.0,0.0,0.0,0.0,104261.0,0.0,104261.0,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000
